feature_a,feature_b,abs_spearman_corr,cluster
ema_spread_48_288b,ema_spread_atr_48_288b,0.981361685603645,trend
atr_24b,keltner_width_20b,0.980382494767657,volatility
atr_288b,atr_pct_288b,0.97894171173838,volatility
volume_rel_24b,volume_z_24b,0.9777849244890743,volume
volume_percentile_24b,volume_z_24b,0.9769957045938406,volume
rolling_vwap_dist_96b,sma_dist_96b,0.976800864092957,price_structure
volume_rel_12b,volume_z_12b,0.9761784413132393,volume
ema_dist_288b,sma_dist_288b,0.9756351063720953,trend
rolling_vwap_dist_288b,rolling_vwap_z_288b,0.9755451132182593,price_structure
rolling_vwap_dist_24b,sma_dist_24b,0.9727000365081736,price_structure
ema_spread_24_96b,ema_spread_atr_24_96b,0.9722985654435313,trend
return_48b,rsi_neutral_dist_48b,0.971101250793271,momentum
roc_48b,rsi_48b,0.971101250793271,momentum
return_48b,rsi_48b,0.971101250793271,momentum
roc_48b,rsi_neutral_dist_48b,0.971101250793271,momentum
rolling_vwap_dist_96b,rolling_vwap_z_96b,0.9708539757301416,price_structure
volume_rel_6b,volume_z_6b,0.9702193890589282,volume
ema_slope_288b,ema_spread_48_288b,0.9693883047983793,trend
ema_spread_12_48b,ema_spread_atr_12_48b,0.9691936762097966,trend
volume_percentile_24b,volume_rel_24b,0.9690121729494034,volume
keltner_width_96b,rv_96b,0.9689150139201081,volatility
atr_pct_96b,rv_96b,0.9686242594080068,volatility
keltner_width_48b,rv_48b,0.967015176149733,volatility
ema_slope_6b,sma_dist_6b,0.9669703016015954,trend
ema_dist_6b,sma_dist_6b,0.9669703016015954,trend
atr_pct_48b,rv_48b,0.966930556258173,volatility
atr_pct_12b,keltner_width_20b,0.966902264015268,volatility
roc_24b,rsi_24b,0.9664591572113637,momentum
return_24b,rsi_neutral_dist_24b,0.9664591572113637,momentum
return_24b,rsi_24b,0.9664591572113637,momentum
roc_24b,rsi_neutral_dist_24b,0.9664591572113637,momentum
ema_spread_6_24b,ema_spread_atr_6_24b,0.9662539686067836,trend
ema_dist_24b,sma_dist_24b,0.9662128475813594,trend
ema_dist_96b,sma_dist_96b,0.9659920437689004,trend
ema_dist_12b,sma_dist_12b,0.9659470871241274,trend
atr_pct_288b,rv_288b,0.9656367860226546,volatility
ema_dist_48b,sma_dist_48b,0.9649108401783962,trend
donchian_pos_24b,rolling_vwap_z_24b,0.9648580936763891,price_structure
rolling_vwap_z_24b,stoch_k_24b,0.9648580936763891,price_structure
rolling_vwap_dist_24b,rolling_vwap_z_24b,0.9633965210091577,price_structure
ema_slope_96b,ema_spread_atr_24_96b,0.9598527089489339,trend
bollinger_pct_b_96b,rolling_vwap_z_96b,0.9593998305906252,volatility
atr_pct_24b,rv_24b,0.9589268635910826,volatility
rolling_vwap_z_288b,sma_dist_288b,0.9585214005138041,price_structure
ema_slope_48b,ema_spread_atr_12_48b,0.9577188212068111,trend
rolling_vwap_z_96b,sma_dist_96b,0.9564331436371479,price_structure
dema_dist_48b,tema_dist_96b,0.956331564091343,trend
dema_dist_6b,tema_dist_12b,0.9559639159587355,trend
dema_dist_12b,tema_dist_24b,0.9552617470313906,trend
atr_48b,rv_48b,0.954734489180645,volatility
ema_slope_24b,ema_spread_atr_6_24b,0.9541187063207828,trend
atr_96b,rv_96b,0.9539402248181672,volatility
keltner_width_20b,rv_24b,0.9538924703049263,volatility
atr_12b,keltner_width_20b,0.9536782665273758,volatility
donchian_pos_96b,rolling_vwap_z_96b,0.9525278021708852,price_structure
ema_slope_288b,ema_spread_atr_48_288b,0.9520132632249937,trend
donchian_pos_288b,rolling_vwap_z_288b,0.9518009104425019,price_structure
dema_dist_24b,tema_dist_48b,0.951295193228109,trend
atr_pct_12b,atr_pct_24b,0.951115312751387,volatility
ema_dist_288b,rolling_vwap_dist_288b,0.9502131779157902,trend
atr_24b,rv_24b,0.9482794023339969,volatility
bollinger_pct_b_20b,rolling_vwap_z_24b,0.9481299088130147,volatility
atr_pct_12b,atr_pct_6b,0.9470382533518005,volatility
atr_12b,atr_24b,0.9470028087331032,volatility
atr_288b,rv_288b,0.9469585920894423,volatility
rsi_neutral_dist_6b,sma_slope_6b,0.9450203430842327,momentum
rsi_6b,sma_slope_6b,0.9450203430842327,momentum
roc_6b,rsi_neutral_dist_6b,0.9450183210546506,momentum
return_6b,rsi_6b,0.9450183210546506,momentum
roc_6b,rsi_6b,0.9450183210546506,momentum
return_6b,rsi_neutral_dist_6b,0.9450183210546506,momentum
atr_12b,atr_6b,0.9428539860707114,volatility
atr_pct_24b,atr_pct_48b,0.9427848889790615,volatility
atr_pct_24b,keltner_width_48b,0.9427058309385327,volatility
rolling_vwap_z_24b,sma_dist_24b,0.941370307567261,price_structure
di_spread_48b,plus_di_48b,0.9413684058814845,trend
ema_dist_96b,rolling_vwap_dist_96b,0.9405012001022914,trend
atr_24b,atr_pct_12b,0.9401356282210839,volatility
ema_spread_6_24b,sma_dist_48b,0.9391012929446617,trend
bollinger_pct_b_48b,sma_dist_48b,0.9389104050051721,volatility
bollinger_pct_b_96b,sma_dist_96b,0.9376744259113536,volatility
atr_pct_12b,rv_12b,0.9376644621267533,volatility
atr_12b,atr_pct_6b,0.9373127249495039,volatility
atr_24b,atr_48b,0.9372508173968955,volatility
atr_12b,atr_pct_24b,0.936753117198367,volatility
di_spread_24b,plus_di_24b,0.9363412589266911,trend
di_spread_48b,rsi_neutral_dist_48b,0.9361882639244827,trend
di_spread_48b,rsi_48b,0.9361882639244827,trend
di_spread_48b,minus_di_48b,0.9355394565333426,trend
ema_dist_24b,rolling_vwap_dist_24b,0.9354193095018507,trend
bollinger_pct_b_48b,stoch_k_48b,0.934449844316033,volatility
di_spread_24b,minus_di_24b,0.9344439718522976,trend
atr_6b,atr_pct_12b,0.9333046775095116,volatility
di_spread_14b,minus_di_14b,0.9327296865351042,trend
ema_spread_12_48b,sma_dist_96b,0.9321566627069902,trend
di_spread_14b,plus_di_14b,0.9315390840558864,trend
bollinger_pct_b_48b,ema_spread_atr_6_24b,0.9312404059321252,volatility
atr_48b,atr_pct_24b,0.9310275741627657,volatility
rolling_vwap_dist_24b,stoch_k_24b,0.9302645889615176,price_structure
donchian_pos_24b,rolling_vwap_dist_24b,0.9302645889615176,price_structure
di_spread_24b,rsi_neutral_dist_24b,0.9293366438918564,trend
di_spread_24b,rsi_24b,0.9293366438918564,trend
ema_dist_288b,rolling_vwap_z_288b,0.9290321446797273,trend
atr_12b,rv_12b,0.9285181191259801,volatility
bollinger_pct_b_96b,donchian_pos_96b,0.9280897258187306,volatility
ema_dist_96b,rolling_vwap_z_96b,0.9273054749869258,trend
donchian_pos_288b,rolling_vwap_dist_288b,0.9262045482194226,price_structure
atr_24b,atr_pct_48b,0.9255897329531878,volatility
atr_24b,keltner_width_48b,0.9255410668893163,volatility
atr_pct_24b,rv_48b,0.9248101970381023,volatility
ema_dist_48b,ema_spread_6_24b,0.9245728995061013,trend
atr_pct_48b,keltner_width_20b,0.9244184335743679,volatility
keltner_width_20b,keltner_width_48b,0.9243557203773257,volatility
donchian_pos_96b,rolling_vwap_dist_96b,0.9236636449354281,price_structure
ema_spread_atr_12_48b,rolling_vwap_z_96b,0.923319290719647,volatility
atr_pct_12b,rv_24b,0.9204260709310432,volatility
bollinger_pct_b_96b,ema_spread_atr_12_48b,0.9195579362456722,volatility
bollinger_pct_b_96b,rolling_vwap_dist_96b,0.9194024265231006,volatility
ema_spread_12_48b,rolling_vwap_dist_96b,0.9170114673289356,trend
ema_dist_96b,ema_spread_12_48b,0.9165454407561114,trend
bollinger_pct_b_96b,ema_dist_96b,0.9163611993970029,volatility
ema_dist_288b,ema_spread_48_288b,0.9159980444598353,trend
bollinger_pct_b_48b,ema_dist_48b,0.9159971584802595,volatility
atr_pct_48b,keltner_width_96b,0.9158194299979031,volatility
ema_dist_48b,ema_dist_96b,0.9157816285912427,trend
roc_12b,sma_slope_12b,0.9157172600906751,momentum
return_12b,sma_slope_12b,0.9157172600906751,momentum
keltner_width_48b,keltner_width_96b,0.9157054103662753,volatility
atr_pct_48b,atr_pct_96b,0.9156158092990692,volatility
atr_pct_96b,keltner_width_48b,0.9153515366047839,volatility
di_spread_14b,rsi_neutral_dist_14b,0.9152888116006558,trend
di_spread_14b,rsi_14b,0.9152888116006558,trend
ema_dist_24b,ema_dist_48b,0.9151542760347696,trend
atr_slope_96b,rv_slope_96b,0.9140654724225928,volatility
bollinger_pct_b_20b,ema_dist_12b,0.9132343449252025,volatility
bollinger_pct_b_20b,donchian_pos_24b,0.9130718712395193,volatility
bollinger_pct_b_20b,stoch_k_24b,0.9130718712395193,volatility
donchian_pos_288b,sma_dist_288b,0.9125857742412986,price_structure
atr_48b,keltner_width_20b,0.9125303099803774,volatility
ema_dist_12b,ema_slope_6b,0.9124102327712938,trend
ema_dist_12b,ema_dist_6b,0.9124102327712938,trend
bollinger_pct_b_20b,sma_dist_24b,0.9118945674728742,volatility
ema_spread_atr_6_24b,sma_dist_48b,0.9118450758608654,volatility
ema_spread_48_288b,sma_dist_288b,0.9114851295884594,trend
ema_dist_24b,rolling_vwap_z_24b,0.910561706741347,trend
macd_hist_24_96b,macd_hist_slope_48_288b,0.9099457802598766,momentum
atr_slope_288b,rv_slope_288b,0.9096189182236312,volatility
ema_spread_atr_12_48b,sma_dist_96b,0.9093808903180572,volatility
rsi_14b,sma_slope_12b,0.9089357631248521,momentum
rsi_neutral_dist_14b,sma_slope_12b,0.9089357631248521,momentum
keltner_width_20b,rv_48b,0.9088606380997308,volatility
bollinger_pct_b_20b,rolling_vwap_dist_24b,0.9086886473461743,volatility
atr_24b,rv_48b,0.9085893741319837,volatility
rv_24b,rv_48b,0.9078170268368453,volatility
di_spread_48b,return_48b,0.9076886436574657,trend
di_spread_48b,roc_48b,0.9076886436574657,trend
volume_z_24b,volume_z_48b,0.9072178930107772,volume
atr_12b,rv_24b,0.9071208860847155,volatility
volume_rel_24b,volume_rel_48b,0.9071121391248358,volume
ema_dist_12b,rolling_vwap_dist_24b,0.9070962468462902,trend
ema_dist_12b,ema_dist_24b,0.9065344782661887,trend
ema_slope_12b,sma_dist_24b,0.9062589040129598,trend
atr_pct_6b,keltner_width_20b,0.9059270823845786,volatility
atr_48b,atr_96b,0.9054855761714224,volatility
sma_dist_48b,stoch_k_48b,0.9054011937181086,trend
donchian_pos_96b,sma_dist_96b,0.9052518803287524,price_structure
volume_percentile_96b,volume_rel_48b,0.9042789527419051,volume
di_spread_24b,return_24b,0.9036477439753244,trend
di_spread_24b,roc_24b,0.9036477439753244,trend
ema_dist_288b,ema_spread_atr_48_288b,0.9034697376525556,trend
donchian_pos_24b,sma_dist_24b,0.9033770603659584,price_structure
sma_dist_24b,stoch_k_24b,0.9033770603659584,trend
dema_dist_24b,macd_hist_6_24b,0.9033069649464909,trend
atr_96b,atr_pct_48b,0.9029333314466871,volatility
atr_96b,keltner_width_48b,0.9026901153787107,volatility
dema_dist_12b,sma_dist_6b,0.9023677601463699,trend
ema_spread_atr_48_288b,sma_dist_288b,0.9022536030591036,volatility
ema_spread_12_48b,rolling_vwap_z_96b,0.901749551771545,trend
ema_dist_6b,sma_dist_12b,0.9009050506840098,trend
ema_slope_6b,sma_dist_12b,0.9009050506840098,trend
atr_pct_48b,rv_96b,0.9008500661523031,volatility
keltner_width_48b,rv_96b,0.9007580029026366,volatility
volume_rel_24b,volume_z_48b,0.9007361683807981,volume
volume_z_12b,volume_z_24b,0.9004321575511637,volume
bollinger_pct_b_20b,stoch_k_14b,0.9001469882153607,volatility
mfi_24b,rsi_24b,0.8999989543043339,volume
mfi_24b,rsi_neutral_dist_24b,0.8999989543043339,volume
ema_dist_48b,rolling_vwap_dist_96b,0.8993840320917964,trend
volume_percentile_24b,volume_z_48b,0.898928249221248,volume
ema_slope_12b,rolling_vwap_dist_24b,0.8984754465979333,trend
ema_dist_48b,ema_spread_atr_6_24b,0.8983971323908725,trend
ema_slope_24b,sma_dist_48b,0.8983515886001119,trend
bollinger_pct_b_48b,ema_spread_6_24b,0.8983308939992026,volatility
rv_12b,rv_24b,0.8981005359865789,volatility
return_3b,sma_dist_6b,0.8969363354220143,momentum
roc_3b,sma_dist_6b,0.8969363354220143,momentum
volume_percentile_96b,volume_z_48b,0.8960176797083091,volume
roc_24b,sma_slope_24b,0.8959288413004355,momentum
return_24b,sma_slope_24b,0.8959288413004355,momentum
ema_dist_96b,ema_spread_atr_12_48b,0.8957229164919656,trend
volume_rel_48b,volume_z_96b,0.8949921571007524,volume
ema_dist_48b,sma_dist_96b,0.8945641061440895,trend
ema_slope_48b,sma_dist_96b,0.8945054068320133,trend
bollinger_pct_b_48b,ema_dist_24b,0.894186628730718,volatility
volume_rel_12b,volume_rel_24b,0.8941823657415484,volume
ema_dist_48b,rolling_vwap_z_96b,0.8935825180543145,trend
ema_dist_24b,ema_slope_12b,0.8934750779018847,trend
ema_dist_24b,sma_dist_48b,0.8933509690392575,trend
ema_dist_12b,rolling_vwap_z_24b,0.8930492634329983,trend
atr_pct_6b,rv_12b,0.8928416229505571,volatility
volume_rel_48b,volume_z_24b,0.8926254551494757,volume
bollinger_pct_b_20b,ema_dist_24b,0.8925628450619896,volatility
dema_dist_48b,rolling_vwap_dist_24b,0.8924436742532033,trend
ema_spread_atr_12_48b,rolling_vwap_dist_96b,0.8923353049293553,volatility
ema_dist_24b,ema_spread_6_24b,0.8922550232341294,trend
bollinger_pct_b_96b,ema_dist_48b,0.8921380410855739,volatility
atr_48b,keltner_width_96b,0.8920680228980936,volatility
volume_percentile_24b,volume_rel_48b,0.8920132762359256,volume
atr_48b,atr_pct_96b,0.8918653814643482,volatility
volume_z_48b,volume_z_96b,0.890931510085295,volume
atr_pct_6b,rv_6b,0.8907055048556396,volatility
sma_dist_6b,stoch_k_6b,0.8899347749529846,trend
atr_6b,keltner_width_20b,0.8896159981095653,volatility
sma_dist_12b,sma_slope_6b,0.88958657898912,trend
roc_6b,sma_dist_12b,0.8895759682860298,momentum
return_6b,sma_dist_12b,0.8895759682860298,momentum
ema_spread_atr_6_24b,rsi_24b,0.8893552956024143,volatility
ema_spread_atr_6_24b,rsi_neutral_dist_24b,0.8893552956024143,volatility
rv_48b,rv_96b,0.8891907680960828,volatility
atr_pct_24b,atr_pct_6b,0.8890862552695725,volatility
ema_dist_12b,sma_dist_24b,0.8889931960026743,trend
volume_rel_48b,volume_rel_96b,0.8882739388610584,volume
volume_rel_12b,volume_z_24b,0.8875066290402673,volume
return_288b,sma_slope_288b,0.8873543031777308,momentum
roc_288b,sma_slope_288b,0.8873543031777308,momentum
roc_48b,sma_slope_48b,0.8873131942055473,momentum
return_48b,sma_slope_48b,0.8873131942055473,momentum
volume_percentile_24b,volume_z_12b,0.8866669455805333,volume
bollinger_pct_b_96b,ema_spread_12_48b,0.886551767891868,volatility
di_spread_24b,mfi_24b,0.8863089706342463,trend
volume_rel_24b,volume_z_12b,0.8859029048785604,volume
dema_dist_48b,sma_dist_24b,0.8858842102378134,trend
sma_dist_12b,stoch_k_14b,0.8852033624438664,trend
dema_dist_24b,sma_dist_12b,0.8851945900457375,trend
atr_6b,rv_6b,0.885112689033214,volatility
macd_hist_12_48b,macd_hist_slope_24_96b,0.8850909642865525,momentum
donchian_pos_288b,ema_dist_288b,0.8849045951525117,price_structure
keltner_width_20b,rv_12b,0.8843926386820639,volatility
ema_dist_12b,stoch_k_14b,0.8834086663528631,trend
ema_spread_atr_12_48b,rsi_48b,0.8830275294526154,volatility
ema_spread_atr_12_48b,rsi_neutral_dist_48b,0.8830275294526154,volatility
bollinger_pct_b_20b,sma_dist_12b,0.8829863149846003,volatility
dema_dist_96b,sma_dist_48b,0.8819551775208477,trend
ema_slope_288b,sma_slope_288b,0.8816690943342529,trend
ema_dist_48b,ema_slope_24b,0.8812428803468338,trend
atr_6b,rv_12b,0.8807813064202511,volatility
minus_di_48b,rsi_neutral_dist_48b,0.8805310478947592,trend
minus_di_48b,rsi_48b,0.8805310478947592,trend
atr_24b,atr_6b,0.8804754100122486,volatility
ema_spread_6_24b,return_24b,0.879793922063394,trend
ema_spread_6_24b,roc_24b,0.879793922063394,trend
atr_slope_48b,rv_slope_48b,0.8793499009038251,volatility
ema_slope_12b,rolling_vwap_z_24b,0.8792424279909719,trend
plus_di_48b,rsi_48b,0.8788397986993296,trend
plus_di_48b,rsi_neutral_dist_48b,0.8788397986993296,trend
ema_spread_6_24b,sma_dist_24b,0.87878228390912,trend
rolling_vwap_z_24b,rsi_14b,0.878644557606562,price_structure
rolling_vwap_z_24b,rsi_neutral_dist_14b,0.878644557606562,price_structure
keltner_width_48b,rv_24b,0.8784199451283219,volatility
atr_pct_48b,rv_24b,0.8783866111029451,volatility
atr_24b,atr_pct_6b,0.8783471103750092,volatility
ema_slope_48b,rolling_vwap_dist_96b,0.8782798969315957,trend
atr_48b,rv_96b,0.8779998638198276,volatility
donchian_pos_96b,ema_dist_96b,0.8777125401869486,price_structure
bb_keltner_width_ratio_96b,choppiness_96b,0.8773471185721313,volatility
return_96b,sma_slope_96b,0.8771087920619289,momentum
roc_96b,sma_slope_96b,0.8771087920619289,momentum
ema_dist_48b,stoch_k_48b,0.8767564459833661,trend
roc_24b,sma_dist_48b,0.876747128023998,momentum
return_24b,sma_dist_48b,0.876747128023998,momentum
ema_dist_48b,ema_spread_12_48b,0.8763755172878293,trend
ema_dist_24b,ema_spread_atr_6_24b,0.8763391375765919,trend
macd_hist_6_24b,macd_hist_slope_12_48b,0.8757148674382739,momentum
minus_di_24b,rsi_neutral_dist_24b,0.875605865283022,trend
minus_di_24b,rsi_24b,0.875605865283022,trend
ema_dist_96b,ema_slope_48b,0.8754166476864931,trend
atr_pct_12b,atr_pct_48b,0.875083411136452,volatility
donchian_pos_24b,ema_dist_24b,0.8750721032439086,price_structure
ema_dist_24b,stoch_k_24b,0.8750721032439086,trend
atr_pct_12b,keltner_width_48b,0.874953450064607,volatility
ema_spread_atr_6_24b,stoch_k_48b,0.8744091377278849,volatility
ema_spread_atr_48_288b,rolling_vwap_z_288b,0.8743863586673574,volatility
ema_dist_6b,stoch_k_6b,0.8742676464387076,trend
ema_slope_6b,stoch_k_6b,0.8742676464387076,trend
ema_spread_12_48b,return_48b,0.8740259731323616,trend
ema_spread_12_48b,roc_48b,0.8740259731323616,trend
di_spread_24b,sma_slope_24b,0.8739326806662424,trend
ema_spread_48_288b,rolling_vwap_dist_288b,0.8735853717140393,trend
bollinger_pct_b_48b,rsi_24b,0.8720601759974073,volatility
bollinger_pct_b_48b,rsi_neutral_dist_24b,0.8720601759974073,volatility
volume_percentile_24b,volume_rel_12b,0.8719634073267658,volume
atr_6b,atr_pct_24b,0.871602962161364,volatility
roc_12b,sma_dist_24b,0.8715226687180192,momentum
return_12b,sma_dist_24b,0.8715226687180192,momentum
dema_dist_48b,rolling_vwap_z_24b,0.8711683348021229,trend
dema_dist_48b,macd_hist_12_48b,0.8709785880574454,trend
ema_spread_atr_6_24b,sma_dist_24b,0.8706001935204637,volatility
ema_dist_96b,ema_spread_24_96b,0.8704419983384859,trend
macd_hist_6_24b,tema_dist_24b,0.8703642835594461,momentum
rsi_neutral_dist_14b,sma_dist_24b,0.8701657974750107,momentum
rsi_14b,sma_dist_24b,0.8701657974750107,momentum
ema_spread_48_288b,return_288b,0.8700847070777191,trend
ema_spread_48_288b,roc_288b,0.8700847070777191,trend
bollinger_pct_b_20b,ema_slope_12b,0.8700574424165329,volatility
mfi_24b,roc_24b,0.8695728709882571,volume
mfi_24b,return_24b,0.8695728709882571,volume
bollinger_pct_b_20b,rsi_14b,0.8685529950522412,volatility
bollinger_pct_b_20b,rsi_neutral_dist_14b,0.8685529950522412,volatility
volume_rel_96b,volume_z_48b,0.8683320106172376,volume
mfi_96b,roc_96b,0.868232179430216,volume
mfi_96b,return_96b,0.868232179430216,volume
rsi_24b,sma_slope_24b,0.8678333825961588,momentum
rsi_neutral_dist_24b,sma_slope_24b,0.8678333825961588,momentum
rolling_vwap_z_24b,stoch_k_14b,0.8677664309613232,price_structure
ema_spread_12_48b,sma_dist_48b,0.867717330780446,trend
roc_48b,sma_dist_96b,0.8672864530756677,momentum
return_48b,sma_dist_96b,0.8672864530756677,momentum
di_spread_48b,sma_slope_48b,0.866992669036343,trend
plus_di_24b,rsi_24b,0.8665313151276248,trend
plus_di_24b,rsi_neutral_dist_24b,0.8665313151276248,trend
macd_hist_48_288b,tema_dist_288b,0.8663600677919411,momentum
atr_48b,rv_24b,0.8663424997700776,volatility
bollinger_pct_b_96b,rsi_48b,0.8656281950131107,volatility
bollinger_pct_b_96b,rsi_neutral_dist_48b,0.8656281950131107,volatility
ema_dist_12b,ema_slope_12b,0.8655932026461031,trend
dema_dist_12b,ema_slope_6b,0.8653191590773952,trend
dema_dist_12b,ema_dist_6b,0.8653191590773952,trend
atr_pct_24b,rv_12b,0.8649384279506753,volatility
dema_dist_96b,macd_hist_24_96b,0.8649299157446932,trend
ema_dist_48b,ema_spread_atr_12_48b,0.8645496043624021,trend
ema_spread_atr_48_288b,rolling_vwap_dist_288b,0.8645277244975416,volatility
ema_slope_48b,rolling_vwap_z_96b,0.8643922991018267,trend
rolling_vwap_z_96b,rsi_48b,0.8642910972304899,price_structure
rolling_vwap_z_96b,rsi_neutral_dist_48b,0.8642910972304899,price_structure
ema_spread_atr_24_96b,rolling_vwap_z_288b,0.8642779710102609,volatility
atr_pct_12b,rv_48b,0.8641050359200647,volatility
atr_12b,atr_48b,0.8639567850310037,volatility
keltner_width_96b,rv_48b,0.8638509663982112,volatility
rolling_high_dist_3b,rolling_high_dist_6b,0.863833869014657,price_structure
dema_dist_24b,ema_dist_6b,0.8637951411643404,trend
dema_dist_24b,ema_slope_6b,0.8637951411643404,trend
mfi_288b,roc_288b,0.863654946758479,volume
mfi_288b,return_288b,0.863654946758479,volume
rsi_neutral_dist_48b,sma_slope_48b,0.863465397042304,momentum
rsi_48b,sma_slope_48b,0.863465397042304,momentum
atr_pct_96b,rv_48b,0.863390021472591,volatility
ema_spread_24_96b,sma_dist_96b,0.8632854856330897,trend
atr_pct_6b,rv_24b,0.8626112727988784,volatility
atr_48b,atr_pct_12b,0.8625550902434033,volatility
di_spread_48b,ema_spread_atr_12_48b,0.862395803626599,trend
ema_spread_6_24b,rsi_24b,0.8622057377138351,trend
ema_spread_6_24b,rsi_neutral_dist_24b,0.8622057377138351,trend
ema_dist_96b,ema_spread_atr_24_96b,0.8618337914985797,trend
dema_dist_96b,ema_dist_24b,0.861118623617343,trend
dema_dist_48b,ema_dist_12b,0.8605262511773514,trend
ema_spread_atr_6_24b,return_24b,0.8601914168801706,volatility
ema_spread_atr_6_24b,roc_24b,0.8601914168801706,volatility
donchian_pos_96b,ema_spread_atr_12_48b,0.860030786173026,price_structure
ema_spread_24_96b,return_96b,0.8594721003600283,trend
ema_spread_24_96b,roc_96b,0.8594721003600283,trend
ema_spread_atr_12_48b,sma_dist_48b,0.8593023160999214,volatility
di_spread_24b,ema_spread_atr_6_24b,0.8593001742111795,trend
rv_12b,rv_6b,0.8591573524155607,volatility
volume_z_12b,volume_z_6b,0.8587404085426908,volume
dema_dist_288b,sma_dist_96b,0.8584603154954771,trend
atr_pct_12b,bollinger_bandwidth_20b,0.8582962811827923,volatility
ema_slope_12b,sma_dist_12b,0.8581338989128288,trend
return_12b,rsi_neutral_dist_14b,0.857801656876572,momentum
roc_12b,rsi_neutral_dist_14b,0.857801656876572,momentum
roc_12b,rsi_14b,0.857801656876572,momentum
return_12b,rsi_14b,0.857801656876572,momentum
ema_spread_12_48b,rsi_48b,0.8576501688328635,trend
ema_spread_12_48b,rsi_neutral_dist_48b,0.8576501688328635,trend
volume_rel_12b,volume_rel_6b,0.8575982634271121,volume
dema_dist_6b,tema_dist_6b,0.8571800200435924,trend
ema_spread_atr_12_48b,roc_48b,0.8570527474581391,volatility
ema_spread_atr_12_48b,return_48b,0.8570527474581391,volatility
bollinger_pct_b_48b,ema_slope_24b,0.8565917672028242,volatility
ema_spread_atr_24_96b,sma_dist_96b,0.856357566324019,volatility
di_spread_14b,sma_slope_12b,0.8563225337904048,trend
consecutive_down_bars,consecutive_up_bars,0.8562767989626712,state
ema_dist_288b,ema_spread_24_96b,0.8562216632402283,trend
minus_di_14b,rsi_neutral_dist_14b,0.8559338079348335,trend
minus_di_14b,rsi_14b,0.8559338079348335,trend
plus_di_48b,return_48b,0.8557140056245336,trend
plus_di_48b,roc_48b,0.8557140056245336,trend
mfi_288b,obv_slope_288b,0.8554213306240929,volume
stoch_k_14b,stoch_k_24b,0.8553645854058134,momentum
donchian_pos_24b,stoch_k_14b,0.8553645854058134,price_structure
rsi_24b,sma_dist_48b,0.855324584465356,momentum
rsi_neutral_dist_24b,sma_dist_48b,0.855324584465356,momentum
dema_dist_288b,ema_dist_96b,0.8551814741823576,trend
plus_di_14b,rsi_14b,0.85516640209666,trend
plus_di_14b,rsi_neutral_dist_14b,0.85516640209666,trend
ema_spread_atr_48_288b,return_288b,0.8549626359252154,volatility
ema_spread_atr_48_288b,roc_288b,0.8549626359252154,volatility
atr_12b,atr_pct_48b,0.854673909951594,volatility
di_spread_14b,ema_spread_atr_6_24b,0.8545837588846268,trend
atr_12b,keltner_width_48b,0.8545622655788752,volatility
atr_24b,rv_12b,0.8544279190893233,volatility
ema_spread_24_96b,rolling_vwap_dist_288b,0.8542799071559484,trend
return_12b,rolling_vwap_dist_24b,0.8541584419623339,momentum
roc_12b,rolling_vwap_dist_24b,0.8541584419623339,momentum
dema_dist_288b,rolling_vwap_dist_96b,0.8540705331322735,trend
volume_rel_6b,volume_z_12b,0.8539129208277771,volume
ema_slope_6b,return_3b,0.8537486971117197,trend
ema_dist_6b,roc_3b,0.8537486971117197,trend
